0	-1864737600	12
0	644448840	13
0	-789710656	12
0	-428629440	14
0	-1783146112	9
0	1488303240	9
0	-1346482184	14
0	-2134548344	12
0	1981894208	12
0	-203809864	14
0	-634565056	12
0	-1238224312	13
0	1111306816	13
0	13305920	13
0	-28910904	12
0	-1998216128	14
0	1607935864	13
0	-1992901248	9
0	1890997248	9
0	582840832	14
0	-926547968	14
0	-1534184384	13
0	1926603264	12
0	1951769736	10
0	-1029353920	12
0	-1335675768	9
0	40265352	13
0	1006783752	11
0	-1948996928	11
0	162437256	11
0	1476025032	12
0	-649346048	10
0	392754744	14
0	-912003904	14
0	-2082432376	13
0	1165251584	14
0	1899792448	13
0	-1513282496	14
0	-1579604928	14
0	1474204224	10
0	1328425608	13
0	1638873088	9
0	-1409834432	13
0	-41831360	9
0	-1249033152	14
0	1012849024	12
0	1730296512	10
0	-13518144	9
0	1304278080	14
0	-1878580736	10
0	429235072	14
0	-1302034368	14
0	1134983552	14
0	-1949007368	11
0	1890666120	9
0	-267537856	14
0	1352174272	12
0	-1297949504	9
0	400354744	13
0	40596480	14
0	-1614230088	9
0	-747548408	10
0	-993374656	10
0	-1965647808	9
0	-1063750088	12
0	182756416	14
0	81965640	12
0	2131378616	12
0	-1338579320	11
0	-1534640576	12
0	881741376	10
0	-1460885960	10
0	-660987328	14
0	1155528192	14
0	-2136792512	13
0	784182344	11
0	-2134475840	9
0	1733498944	13
0	1096725064	9
0	-1587433920	9
0	925658120	12
0	-1380260216	10
0	-1720147392	10
0	-16473024	14
0	-788024760	10
0	-1554627584	9
0	-182366656	9
0	-248147392	13
0	91883008	14
0	859747392	12
0	-3496896	13
0	-454154376	13
0	-1478769600	10
0	-1290357624	13
0	262657024	14
0	-374300160	9
0	-902104704	12
0	-134270912	14
0	1747570680	12
0	-1814412288	14
0	-975035904	11
0	442685824	9
0	-240664000	11
0	1303821888	14
0	-415798080	12
0	-326981768	13
1	1303899576	7
1	832495032	6
1	1872166840	3
1	-697277880	6
1	1960125072	7
1	2081960520	4
1	-1747316808	3
1	-501153720	4
1	1339505592	7
1	-675079240	3
1	1007151744	5
1	-1776798584	7
1	-1490432080	6
1	-2001654784	3
1	444999224	5
1	1145494144	4
1	-1570852208	5
1	-1460885960	5
1	602810160	3
1	1330773432	7
1	1233808248	3
1	1124208640	4
1	-485348352	7
1	-992297024	3
1	-671463728	2
1	2003908160	5
1	-1333555272	7
1	-2096188856	4
1	-1527554632	2
1	392754744	6
1	-1087685560	3
1	-1644537216	4
1	-423699520	4
1	2111114832	4
1	1367530504	5
1	-1415025656	6
1	322721416	2
1	629711432	7
1	-50191152	7
1	-874934272	4
1	-228671048	7
1	1605996616	6
0	281148608	10
0	-1743989760	10
0	1303899576	12
0	-731773888	9
0	-534260736	11
0	-965044664	13
0	-625076600	11
0	-2080234432	9
0	-2080239544	11
0	1810774968	12
0	1881252928	9
0	140760064	9
0	-429252096	14
0	-780394232	9
0	-63298496	10
0	977089088	14
0	-356146616	13
0	-1227595200	11
0	1521059328	14
0	1659896384	11
0	-1330228224	9
0	-1837737272	11
0	-1115951688	9
0	925487096	14
0	15590456	12
0	1084142656	14
0	-89829824	12
0	-521281536	14
0	1923945024	14
0	-981771904	9
0	-1489918408	9
0	51487232	12
0	-1017270720	14
0	-1490188800	14
0	-1534562888	12
0	658575872	14
0	585859000	13
0	421635136	14
0	355312704	14
0	550395320	13
0	-843020224	13
0	-36887488	9
0	1138180672	11
0	-1747021248	10
0	-550622584	10
0	896822464	14
0	1975514112	10
0	-75022784	9
0	-741043712	14
0	1272968704	14
0	-945647040	10
0	385511176	10
0	810000960	14
0	-1917699144	12
0	-488936256	11
0	-274943560	14
0	2016518656	14
0	-1132843456	13
0	1519119552	14
0	-1119424760	14
0	1214128640	9
0	-337654344	13
0	1114338304	14
0	-936013248	9
0	952373824	11
0	-1731526080	14
0	-220817344	12
0	-1965370304	14
0	2132965760	9
0	-1427401664	14
0	-1527632320	14
0	1900223360	11
0	-1467477440	9
0	-871896376	11
0	6211208	9
0	-362097528	13
0	-1439605568	10
0	7419528	12
0	-1140326648	11
0	-1729245192	14
0	257595456	13
0	-1985336696	13
0	254694400	14
0	657668096	9
0	1320861056	11
0	-2134511624	12
0	64595080	9
0	1096688128	9
0	-1519771136	14
0	145906624	9
0	154968640	10
0	-1480436672	12
0	-540109760	9
0	1902000832	14
0	400733248	14
0	1466875072	14
0	-172342784	10
0	-523867272	14
0	189311112	9
0	-1382960576	10
0	832417344	12
0	-874141696	11
0	-2055558520	13
0	1351248760	9
0	1178652088	11
1	-396442048	5
1	644453952	7
1	-2072792000	4
1	-2005851576	6
1	1744772024	7
1	1885143552	3
1	-567856064	6
1	1606995384	2
1	-1761977728	5
1	-1946016632	4
1	-891996608	5
1	81970752	5
1	414265856	3
1	923045816	3
1	-1115951688	5
1	-1937522104	7
1	657290744	4
1	1047765136	6
1	1259442680	5
1	-1566098360	7
1	1617527440	6
1	558838344	3
1	657191992	3
1	-992332808	5
1	10395576	3
1	-819063296	5
1	-1350692792	3
1	1124955208	5
1	352456776	4
1	451641272	7
1	1474438280	7
1	1898736720	6
1	588100744	4
1	1081115128	4
1	1843081800	4
1	-2107264520	5
1	2012038720	5
1	498782720	4
1	2005021256	4
1	2016141304	4
1	-203845632	4
1	1982622656	5
1	632655944	7
0	-376881792	9
0	-1135732672	14
